epoch,train_mse,val_mse,val_r2
438,11911365888176.715,366613858776.61536,-329162.8026898578
439,11890695865926.275,371874774094.7692,-333769.4751248472
440,11875479668791.844,380267442806.1539,-340642.26624312013
441,11862068445746.195,364223642072.61536,-327517.2231972535
442,11820468353064.156,368288368482.46155,-330031.5223177761
443,11815449713895.67,369895000851.6923,-330655.1891459172
444,11782119978555.922,361032458555.0769,-323303.7139956253
445,11778265354039.215,393348586259.6923,-350279.0688942837
446,11770634589685.96,370922005425.2308,-331722.6150489768
447,11710791778737.5,362223205612.3077,-324353.74389134045
448,11648143154878.744,361721641432.61536,-323821.94369708595
449,11669324919265.883,360633573691.0769,-322360.484456616
450,11617263212538.191,363441609176.61536,-324267.6004845499
451,11596341559536.941,353977355342.7692,-316525.08601671486
452,11560362380147.451,359874082028.3077,-321285.58563162124
453,11612273774305.295,375231309036.3077,-334093.72555959347
454,11506515561050.354,357287106560.0,-319242.07133519463
455,11557162533265.568,355190971785.8461,-316992.36666840245
456,11554780170595.137,354146948647.38464,-316219.36782468157
457,11544314148141.176,352256201649.2308,-313895.5797671293
458,11417249369718.193,374611107209.8461,-332191.28316797083
459,11436820384561.578,342680213031.38464,-306114.75959350594
460,11468330140782.672,359404962264.61536,-319483.2232324684
461,11418394410124.549,355497049639.38464,-315848.5588977115
462,11396051450521.098,355062491766.1539,-315583.28528551414
463,11318157130127.797,355186604662.1539,-315232.4905622805
464,11257742762848.627,344067840157.53845,-306041.58679452236
465,11284522419350.588,350525303256.61536,-310888.14548112865
466,11253260110667.295,340308665895.38464,-302307.36606700724
467,11258654155402.04,357299606764.3077,-315498.7754724267
468,11199556733490.195,330480714043.0769,-293458.9137332999
469,11176718014584.47,325552611170.46155,-288497.576493362
470,11171147613605.646,327360566665.8461,-289844.62383849855
471,11145584497744.314,319222157942.1539,-281720.71729892347
472,11100546113094.275,327007934936.61536,-288359.6001613644
473,11059181065155.766,316898667283.6923,-279195.15339776134
474,11081642025160.785,301537538441.8461,-265274.4650193488
475,11000456261167.686,302391089545.8461,-265905.7018172854
476,11019715785477.02,302194273358.7692,-265627.2945502621
477,10920567828600.902,294315370180.9231,-258034.7492241381
478,10941471007523.137,292266783822.7692,-255777.48233049043
479,10844301066631.53,281744070656.0,-246243.36962886414
480,10866541134024.785,271888636297.84616,-237443.71561975594
481,10864768889936.314,268580041728.0,-234530.1090156087
482,10838311736944.941,263566048649.84616,-229601.78404270986
483,10723546930878.744,267701367177.84616,-232536.82834323074
484,10774140212906.666,249571313506.46155,-216606.6542927018
485,10739616868702.117,249606457659.07693,-215811.97999102733
486,10701154953597.49,244976519168.0,-211386.0043068472
487,10694353017032.785,236555903133.53845,-203879.92002333316
488,10644859140362.04,237130206050.46155,-203935.88343031995
489,10661669123566.432,224975574488.6154,-193132.60436501136
490,10571696791401.412,223971907190.15384,-192073.44359005106
491,10535378435440.926,210336526887.3846,-180398.44790530647
492,10556088609008.941,214055088482.46155,-183441.53603705007
493,10549063527815.53,208551841870.76923,-178346.531504726
494,10507907743193.568,199356179968.0,-170060.76579475583
495,10397160235393.104,199206402993.23077,-169933.6803234736
496,10434282372391.584,192049233762.46155,-164032.27501570902
497,10360354843386.98,181647847817.84616,-155086.94050490536
498,10340678978790.902,179381128467.69232,-153017.41010873183
499,10296905238166.588,175296411372.30768,-149444.80117195964
500,10330505282177.568,170832987726.76923,-145548.45833399903
